Code,Year,Covered by tax instrument in at least one sector
ARG,2022,Has a carbon tax
ARM,1989,No carbon tax
ARM,1990,No carbon tax
ARM,1991,No carbon tax
ARM,1992,No carbon tax
ARM,1993,No carbon tax
ARM,1994,No carbon tax
ARM,1995,No carbon tax
ARM,1996,No carbon tax
ARM,1997,No carbon tax
ARM,1998,No carbon tax
ARM,1999,No carbon tax
ARM,2000,No carbon tax
ARM,2001,No carbon tax
ARM,2002,No carbon tax
ARM,2003,No carbon tax
ARM,2004,No carbon tax
ARM,2005,No carbon tax
ARM,2006,No carbon tax
ARM,2007,No carbon tax
ARM,2008,No carbon tax
ARM,2009,No carbon tax
ARM,2010,No carbon tax
ARM,2011,No carbon tax
ARM,2012,No carbon tax
ARM,2013,No carbon tax
ARM,2014,No carbon tax
ARM,2015,No carbon tax
ARM,2016,No carbon tax
ARM,2017,No carbon tax
ARM,2018,No carbon tax
ARM,2019,No carbon tax
ARM,2020,No carbon tax
ARM,2021,No carbon tax
ARM,2022,No carbon tax
AUS,1989,No carbon tax
AUS,1990,No carbon tax
AUS,1991,No carbon tax
AUS,1992,No carbon tax
AUS,1993,No carbon tax
AUS,1994,No carbon tax
AUS,1995,No carbon tax
AUS,1996,No carbon tax
AUS,1997,No carbon tax
AUS,1998,No carbon tax
AUS,1999,No carbon tax
AUS,2000,No carbon tax
AUS,2001,No carbon tax
AUS,2002,No carbon tax
AUS,2003,No carbon tax
AUS,2004,No carbon tax
AUS,2005,No carbon tax
AUS,2006,No carbon tax
AUS,2007,No carbon tax
AUS,2008,No carbon tax
AUS,2009,No carbon tax
AUS,2010,No carbon tax
AUS,2011,No carbon tax
AUS,2012,Has a carbon tax
AUS,2013,Has a carbon tax
AUS,2014,Has a carbon tax
AUS,2015,No carbon tax
AUS,2016,No carbon tax
AUS,2017,No carbon tax
AUS,2018,No carbon tax
AUS,2019,No carbon tax
AUS,2020,No carbon tax
AUS,2021,No carbon tax
AUS,2022,No carbon tax
AUT,1989,No carbon tax
AUT,1990,No carbon tax
AUT,1991,No carbon tax
AUT,1992,No carbon tax
AUT,1993,No carbon tax
AUT,1994,No carbon tax
AUT,1995,No carbon tax
AUT,1996,No carbon tax
AUT,1997,No carbon tax
AUT,1998,No carbon tax
AUT,1999,No carbon tax
AUT,2000,No carbon tax
AUT,2001,No carbon tax
AUT,2002,No carbon tax
AUT,2003,No carbon tax
AUT,2004,No carbon tax
AUT,2005,No carbon tax
AUT,2006,No carbon tax
AUT,2007,No carbon tax
AUT,2008,No carbon tax
AUT,2009,No carbon tax
AUT,2010,No carbon tax
AUT,2011,No carbon tax
AUT,2012,No carbon tax
AUT,2013,No carbon tax
AUT,2014,No carbon tax
AUT,2015,No carbon tax
AUT,2016,No carbon tax
AUT,2017,No carbon tax
AUT,2018,No carbon tax
AUT,2019,No carbon tax
AUT,2020,No carbon tax
AUT,2021,No carbon tax
AUT,2022,No carbon tax
AZE,1989,No carbon tax
AZE,1990,No carbon tax
AZE,1991,No carbon tax
AZE,1992,No carbon tax
AZE,1993,No carbon tax
AZE,1994,No carbon tax
AZE,1995,No carbon tax
AZE,1996,No carbon tax
AZE,1997,No carbon tax
AZE,1998,No carbon tax
AZE,1999,No carbon tax
AZE,2000,No carbon tax
AZE,2001,No carbon tax
AZE,2002,No carbon tax
AZE,2003,No carbon tax
AZE,2004,No carbon tax
AZE,2005,No carbon tax
AZE,2006,No carbon tax
AZE,2007,No carbon tax
AZE,2008,No carbon tax
AZE,2009,No carbon tax
AZE,2010,No carbon tax
AZE,2011,No carbon tax
AZE,2012,No carbon tax
AZE,2013,No carbon tax
AZE,2014,No carbon tax
AZE,2015,No carbon tax
AZE,2016,No carbon tax
AZE,2017,No carbon tax
AZE,2018,No carbon tax
AZE,2019,No carbon tax
AZE,2020,No carbon tax
AZE,2021,No carbon tax
AZE,2022,No carbon tax
BHS,1989,No carbon tax
BHS,1990,No carbon tax
BHS,1991,No carbon tax
BHS,1992,No carbon tax
BHS,1993,No carbon tax
BHS,1994,No carbon tax
BHS,1995,No carbon tax
BHS,1996,No carbon tax
BHS,1997,No carbon tax
BHS,1998,No carbon tax
BHS,1999,No carbon tax
BHS,2000,No carbon tax
BHS,2001,No carbon tax
BHS,2002,No carbon tax
BHS,2003,No carbon tax
BHS,2004,No carbon tax
BHS,2005,No carbon tax
BHS,2006,No carbon tax
BHS,2007,No carbon tax
BHS,2008,No carbon tax
BHS,2009,No carbon tax
BHS,2010,No carbon tax
BHS,2011,No carbon tax
BHS,2012,No carbon tax
BHS,2013,No carbon tax
BHS,2014,No carbon tax
BHS,2015,No carbon tax
BHS,2016,No carbon tax
BHS,2017,No carbon tax
BHS,2018,No carbon tax
BHS,2019,No carbon tax
BHS,2020,No carbon tax
BHS,2021,No carbon tax
BHS,2022,No carbon tax
BHR,1989,No carbon tax
BHR,1990,No carbon tax
BHR,1991,No carbon tax
BHR,1992,No carbon tax
BHR,1993,No carbon tax
BHR,1994,No carbon tax
BHR,1995,No carbon tax
BHR,1996,No carbon tax
BHR,1997,No carbon tax
BHR,1998,No carbon tax
BHR,1999,No carbon tax
BHR,2000,No carbon tax
BHR,2001,No carbon tax
BHR,2002,No carbon tax
BHR,2003,No carbon tax
BHR,2004,No carbon tax
BHR,2005,No carbon tax
BHR,2006,No carbon tax
BHR,2007,No carbon tax
BHR,2008,No carbon tax
BHR,2009,No carbon tax
BHR,2010,No carbon tax
BHR,2011,No carbon tax
BHR,2012,No carbon tax
BHR,2013,No carbon tax
BHR,2014,No carbon tax
BHR,2015,No carbon tax
BHR,2016,No carbon tax
BHR,2017,No carbon tax
BHR,2018,No carbon tax
BHR,2019,No carbon tax
BHR,2020,No carbon tax
BHR,2021,No carbon tax
BHR,2022,No carbon tax
BGD,1989,No carbon tax
BGD,1990,No carbon tax
BGD,1991,No carbon tax
BGD,1992,No carbon tax
BGD,1993,No carbon tax
BGD,1994,No carbon tax
BGD,1995,No carbon tax
BGD,1996,No carbon tax
BGD,1997,No carbon tax
BGD,1998,No carbon tax
BGD,1999,No carbon tax
BGD,2000,No carbon tax
BGD,2001,No carbon tax
BGD,2002,No carbon tax
BGD,2003,No carbon tax
BGD,2004,No carbon tax
BGD,2005,No carbon tax
BGD,2006,No carbon tax
BGD,2007,No carbon tax
BGD,2008,No carbon tax
BGD,2009,No carbon tax
BGD,2010,No carbon tax
BGD,2011,No carbon tax
BGD,2012,No carbon tax
BGD,2013,No carbon tax
BGD,2014,No carbon tax
BGD,2015,No carbon tax
BGD,2016,No carbon tax
BGD,2017,No carbon tax
BGD,2018,No carbon tax
BGD,2019,No carbon tax
BGD,2020,No carbon tax
BGD,2021,No carbon tax
BGD,2022,No carbon tax
BRB,1989,No carbon tax
BRB,1990,No carbon tax
BRB,1991,No carbon tax
BRB,1992,No carbon tax
BRB,1993,No carbon tax
BRB,1994,No carbon tax
BRB,1995,No carbon tax
BRB,1996,No carbon tax
BRB,1997,No carbon tax
BRB,1998,No carbon tax
BRB,1999,No carbon tax
BRB,2000,No carbon tax
BRB,2001,No carbon tax
BRB,2002,No carbon tax
BRB,2003,No carbon tax
BRB,2004,No carbon tax
BRB,2005,No carbon tax
BRB,2006,No carbon tax
BRB,2007,No carbon tax
BRB,2008,No carbon tax
BRB,2009,No carbon tax
BRB,2010,No carbon tax
BRB,2011,No carbon tax
BRB,2012,No carbon tax
BRB,2013,No carbon tax
BRB,2014,No carbon tax
BRB,2015,No carbon tax
BRB,2016,No carbon tax
BRB,2017,No carbon tax
BRB,2018,No carbon tax
BRB,2019,No carbon tax
BRB,2020,No carbon tax
BRB,2021,No carbon tax
BRB,2022,No carbon tax
BLR,1989,No carbon tax
BLR,1990,No carbon tax
BLR,1991,No carbon tax
BLR,1992,No carbon tax
BLR,1993,No carbon tax
BLR,1994,No carbon tax
BLR,1995,No carbon tax
BLR,1996,No carbon tax
BLR,1997,No carbon tax
BLR,1998,No carbon tax
BLR,1999,No carbon tax
BLR,2000,No carbon tax
BLR,2001,No carbon tax
BLR,2002,No carbon tax
BLR,2003,No carbon tax
BLR,2004,No carbon tax
BLR,2005,No carbon tax
BLR,2006,No carbon tax
BLR,2007,No carbon tax
BLR,2008,No carbon tax
BLR,2009,No carbon tax
BLR,2010,No carbon tax
BLR,2011,No carbon tax
BLR,2012,No carbon tax
BLR,2013,No carbon tax
BLR,2014,No carbon tax
BLR,2015,No carbon tax
BLR,2016,No carbon tax
BLR,2017,No carbon tax
BLR,2018,No carbon tax
BLR,2019,No carbon tax
BLR,2020,No carbon tax
BLR,2021,No carbon tax
BLR,2022,No carbon tax
BEL,1989,No carbon tax
BEL,1990,No carbon tax
BEL,1991,No carbon tax
BEL,1992,No carbon tax
BEL,1993,No carbon tax
BEL,1994,No carbon tax
BEL,1995,No carbon tax
BEL,1996,No carbon tax
BEL,1997,No carbon tax
BEL,1998,No carbon tax
BEL,1999,No carbon tax
BEL,2000,No carbon tax
BEL,2001,No carbon tax
BEL,2002,No carbon tax
BEL,2003,No carbon tax
BEL,2004,No carbon tax
BEL,2005,No carbon tax
BEL,2006,No carbon tax
BEL,2007,No carbon tax
BEL,2008,No carbon tax
BEL,2009,No carbon tax
BEL,2010,No carbon tax
BEL,2011,No carbon tax
BEL,2012,No carbon tax
BEL,2013,No carbon tax
BEL,2014,No carbon tax
BEL,2015,No carbon tax
BEL,2016,No carbon tax
BEL,2017,No carbon tax
BEL,2018,No carbon tax
BEL,2019,No carbon tax
BEL,2020,No carbon tax
BEL,2021,No carbon tax
BEL,2022,No carbon tax
BLZ,1989,No carbon tax
BLZ,1990,No carbon tax
BLZ,1991,No carbon tax
BLZ,1992,No carbon tax
BLZ,1993,No carbon tax
BLZ,1994,No carbon tax
BLZ,1995,No carbon tax
BLZ,1996,No carbon tax
BLZ,1997,No carbon tax
BLZ,1998,No carbon tax
BLZ,1999,No carbon tax
BLZ,2000,No carbon tax
BLZ,2001,No carbon tax
BLZ,2002,No carbon tax
BLZ,2003,No carbon tax
BLZ,2004,No carbon tax
BLZ,2005,No carbon tax
BLZ,2006,No carbon tax
BLZ,2007,No carbon tax
BLZ,2008,No carbon tax
BLZ,2009,No carbon tax
BLZ,2010,No carbon tax
BLZ,2011,No carbon tax
BLZ,2012,No carbon tax
BLZ,2013,No carbon tax
BLZ,2014,No carbon tax
BLZ,2015,No carbon tax
BLZ,2016,No carbon tax
BLZ,2017,No carbon tax
BLZ,2018,No carbon tax
BLZ,2019,No carbon tax
BLZ,2020,No carbon tax
BLZ,2021,No carbon tax
BLZ,2022,No carbon tax
BEN,1989,No carbon tax
BEN,1990,No carbon tax
BEN,1991,No carbon tax
BEN,1992,No carbon tax
BEN,1993,No carbon tax
BEN,1994,No carbon tax
BEN,1995,No carbon tax
BEN,1996,No carbon tax
BEN,1997,No carbon tax
BEN,1998,No carbon tax
BEN,1999,No carbon tax
BEN,2000,No carbon tax
BEN,2001,No carbon tax
BEN,2002,No carbon tax
BEN,2003,No carbon tax
BEN,2004,No carbon tax
BEN,2005,No carbon tax
BEN,2006,No carbon tax
BEN,2007,No carbon tax
BEN,2008,No carbon tax
BEN,2009,No carbon tax
BEN,2010,No carbon tax
BEN,2011,No carbon tax
BEN,2012,No carbon tax
BEN,2013,No carbon tax
BEN,2014,No carbon tax
BEN,2015,No carbon tax
BEN,2016,No carbon tax
BEN,2017,No carbon tax
BEN,2018,No carbon tax
BEN,2019,No carbon tax
BEN,2020,No carbon tax
BEN,2021,No carbon tax
BEN,2022,No carbon tax
BTN,1989,No carbon tax
BTN,1990,No carbon tax
BTN,1991,No carbon tax
BTN,1992,No carbon tax
BTN,1993,No carbon tax
BTN,1994,No carbon tax
BTN,1995,No carbon tax
BTN,1996,No carbon tax
BTN,1997,No carbon tax
BTN,1998,No carbon tax
BTN,1999,No carbon tax
BTN,2000,No carbon tax
BTN,2001,No carbon tax
BTN,2002,No carbon tax
BTN,2003,No carbon tax
BTN,2004,No carbon tax
BTN,2005,No carbon tax
BTN,2006,No carbon tax
BTN,2007,No carbon tax
BTN,2008,No carbon tax
BTN,2009,No carbon tax
BTN,2010,No carbon tax
BTN,2011,No carbon tax
BTN,2012,No carbon tax
BTN,2013,No carbon tax
BTN,2014,No carbon tax
BTN,2015,No carbon tax
BTN,2016,No carbon tax
BTN,2017,No carbon tax
BTN,2018,No carbon tax
BTN,2019,No carbon tax
BTN,2020,No carbon tax
BTN,2021,No carbon tax
BTN,2022,No carbon tax
BOL,1989,No carbon tax
BOL,1990,No carbon tax
BOL,1991,No carbon tax
BOL,1992,No carbon tax
BOL,1993,No carbon tax
BOL,1994,No carbon tax
BOL,1995,No carbon tax
BOL,1996,No carbon tax
BOL,1997,No carbon tax
BOL,1998,No carbon tax
BOL,1999,No carbon tax
BOL,2000,No carbon tax
BOL,2001,No carbon tax
BOL,2002,No carbon tax
BOL,2003,No carbon tax
BOL,2004,No carbon tax
BOL,2005,No carbon tax
BOL,2006,No carbon tax
BOL,2007,No carbon tax
BOL,2008,No carbon tax
BOL,2009,No carbon tax
BOL,2010,No carbon tax
BOL,2011,No carbon tax
BOL,2012,No carbon tax
BOL,2013,No carbon tax
BOL,2014,No carbon tax
BOL,2015,No carbon tax
BOL,2016,No carbon tax
BOL,2017,No carbon tax
BOL,2018,No carbon tax
BOL,2019,No carbon tax
BOL,2020,No carbon tax
BOL,2021,No carbon tax
BOL,2022,No carbon tax
BIH,1989,No carbon tax
BIH,1990,No carbon tax
BIH,1991,No carbon tax
BIH,1992,No carbon tax
BIH,1993,No carbon tax
BIH,1994,No carbon tax
BIH,1995,No carbon tax
BIH,1996,No carbon tax
BIH,1997,No carbon tax
BIH,1998,No carbon tax
BIH,1999,No carbon tax
BIH,2000,No carbon tax
BIH,2001,No carbon tax
BIH,2002,No carbon tax
BIH,2003,No carbon tax
BIH,2004,No carbon tax
BIH,2005,No carbon tax
BIH,2006,No carbon tax
BIH,2007,No carbon tax
BIH,2008,No carbon tax
BIH,2009,No carbon tax
BIH,2010,No carbon tax
BIH,2011,No carbon tax
BIH,2012,No carbon tax
BIH,2013,No carbon tax
BIH,2014,No carbon tax
BIH,2015,No carbon tax
BIH,2016,No carbon tax
BIH,2017,No carbon tax
BIH,2018,No carbon tax
BIH,2019,No carbon tax
BIH,2020,No carbon tax
BIH,2021,No carbon tax
BIH,2022,No carbon tax
BWA,1989,No carbon tax
BWA,1990,No carbon tax
BWA,1991,No carbon tax
BWA,1992,No carbon tax
BWA,1993,No carbon tax
BWA,1994,No carbon tax
BWA,1995,No carbon tax
BWA,1996,No carbon tax
BWA,1997,No carbon tax
BWA,1998,No carbon tax
BWA,1999,No carbon tax
BWA,2000,No carbon tax
BWA,2001,No carbon tax
BWA,2002,No carbon tax
BWA,2003,No carbon tax
BWA,2004,No carbon tax
BWA,2005,No carbon tax
BWA,2006,No carbon tax
BWA,2007,No carbon tax
BWA,2008,No carbon tax
BWA,2009,No carbon tax
BWA,2010,No carbon tax
BWA,2011,No carbon tax
BWA,2012,No carbon tax
BWA,2013,No carbon tax
BWA,2014,No carbon tax
BWA,2015,No carbon tax
BWA,2016,No carbon tax
BWA,2017,No carbon tax
BWA,2018,No carbon tax
BWA,2019,No carbon tax
BWA,2020,No carbon tax
BWA,2021,No carbon tax
BWA,2022,No carbon tax
BRA,1989,No carbon tax
BRA,1990,No carbon tax
BRA,1991,No carbon tax
BRA,1992,No carbon tax
BRA,1993,No carbon tax
BRA,1994,No carbon tax
BRA,1995,No carbon tax
BRA,1996,No carbon tax
BRA,1997,No carbon tax
BRA,1998,No carbon tax
BRA,1999,No carbon tax
BRA,2000,No carbon tax
BRA,2001,No carbon tax
BRA,2002,No carbon tax
BRA,2003,No carbon tax
BRA,2004,No carbon tax
BRA,2005,No carbon tax
BRA,2006,No carbon tax
BRA,2007,No carbon tax
BRA,2008,No carbon tax
BRA,2009,No carbon tax
BRA,2010,No carbon tax
BRA,2011,No carbon tax
BRA,2012,No carbon tax
BRA,2013,No carbon tax
BRA,2014,No carbon tax
BRA,2015,No carbon tax
BRA,2016,No carbon tax
BRA,2017,No carbon tax
BRA,2018,No carbon tax
BRA,2019,No carbon tax
BRA,2020,No carbon tax
BRA,2021,No carbon tax
BRA,2022,No carbon tax
BRN,1989,No carbon tax
BRN,1990,No carbon tax
BRN,1991,No carbon tax
BRN,1992,No carbon tax
BRN,1993,No carbon tax
BRN,1994,No carbon tax
BRN,1995,No carbon tax
BRN,1996,No carbon tax
BRN,1997,No carbon tax
BRN,1998,No carbon tax
BRN,1999,No carbon tax
BRN,2000,No carbon tax
BRN,2001,No carbon tax
BRN,2002,No carbon tax
BRN,2003,No carbon tax
BRN,2004,No carbon tax
BRN,2005,No carbon tax
BRN,2006,No carbon tax
BRN,2007,No carbon tax
BRN,2008,No carbon tax
BRN,2009,No carbon tax
BRN,2010,No carbon tax
BRN,2011,No carbon tax
BRN,2012,No carbon tax
BRN,2013,No carbon tax
BRN,2014,No carbon tax
BRN,2015,No carbon tax
BRN,2016,No carbon tax
BRN,2017,No carbon tax
BRN,2018,No carbon tax
BRN,2019,No carbon tax
BRN,2020,No carbon tax
BRN,2021,No carbon tax
BRN,2022,No carbon tax
BGR,1989,No carbon tax
BGR,1990,No carbon tax
BGR,1991,No carbon tax
BGR,1992,No carbon tax
BGR,1993,No carbon tax
BGR,1994,No carbon tax
BGR,1995,No carbon tax
BGR,1996,No carbon tax
BGR,1997,No carbon tax
BGR,1998,No carbon tax
BGR,1999,No carbon tax
BGR,2000,No carbon tax
BGR,2001,No carbon tax
BGR,2002,No carbon tax
BGR,2003,No carbon tax
BGR,2004,No carbon tax
BGR,2005,No carbon tax
BGR,2006,No carbon tax
BGR,2007,No carbon tax
BGR,2008,No carbon tax
BGR,2009,No carbon tax
BGR,2010,No carbon tax
BGR,2011,No carbon tax
BGR,2012,No carbon tax
BGR,2013,No carbon tax
BGR,2014,No carbon tax
BGR,2015,No carbon tax
BGR,2016,No carbon tax
BGR,2017,No carbon tax
BGR,2018,No carbon tax
BGR,2019,No carbon tax
BGR,2020,No carbon tax
BGR,2021,No carbon tax
BGR,2022,No carbon tax
BFA,1989,No carbon tax
BFA,1990,No carbon tax
BFA,1991,No carbon tax
BFA,1992,No carbon tax
BFA,1993,No carbon tax
BFA,1994,No carbon tax
BFA,1995,No carbon tax
BFA,1996,No carbon tax
BFA,1997,No carbon tax
BFA,1998,No carbon tax
BFA,1999,No carbon tax
BFA,2000,No carbon tax
BFA,2001,No carbon tax
BFA,2002,No carbon tax
BFA,2003,No carbon tax
BFA,2004,No carbon tax
BFA,2005,No carbon tax
BFA,2006,No carbon tax
BFA,2007,No carbon tax
BFA,2008,No carbon tax
BFA,2009,No carbon tax
BFA,2010,No carbon tax
BFA,2011,No carbon tax
BFA,2012,No carbon tax
BFA,2013,No carbon tax
BFA,2014,No carbon tax
BFA,2015,No carbon tax
BFA,2016,No carbon tax
BFA,2017,No carbon tax
BFA,2018,No carbon tax
BFA,2019,No carbon tax
BFA,2020,No carbon tax
BFA,2021,No carbon tax
BFA,2022,No carbon tax
BDI,1989,No carbon tax
BDI,1990,No carbon tax
BDI,1991,No carbon tax
BDI,1992,No carbon tax
BDI,1993,No carbon tax
BDI,1994,No carbon tax
BDI,1995,No carbon tax
BDI,1996,No carbon tax
BDI,1997,No carbon tax
BDI,1998,No carbon tax
BDI,1999,No carbon tax
BDI,2000,No carbon tax
BDI,2001,No carbon tax
BDI,2002,No carbon tax
BDI,2003,No carbon tax
BDI,2004,No carbon tax
BDI,2005,No carbon tax
BDI,2006,No carbon tax
BDI,2007,No carbon tax
BDI,2008,No carbon tax
BDI,2009,No carbon tax
BDI,2010,No carbon tax
BDI,2011,No carbon tax
BDI,2012,No carbon tax
BDI,2013,No carbon tax
BDI,2014,No carbon tax
BDI,2015,No carbon tax
BDI,2016,No carbon tax
BDI,2017,No carbon tax
BDI,2018,No carbon tax
BDI,2019,No carbon tax
BDI,2020,No carbon tax
BDI,2021,No carbon tax
BDI,2022,No carbon tax
KHM,1989,No carbon tax
KHM,1990,No carbon tax
KHM,1991,No carbon tax
KHM,1992,No carbon tax
KHM,1993,No carbon tax
KHM,1994,No carbon tax
KHM,1995,No carbon tax
KHM,1996,No carbon tax
KHM,1997,No carbon tax
KHM,1998,No carbon tax
KHM,1999,No carbon tax
KHM,2000,No carbon tax
KHM,2001,No carbon tax
KHM,2002,No carbon tax
KHM,2003,No carbon tax
KHM,2004,No carbon tax
KHM,2005,No carbon tax
KHM,2006,No carbon tax
KHM,2007,No carbon tax
KHM,2008,No carbon tax
KHM,2009,No carbon tax
KHM,2010,No carbon tax
KHM,2011,No carbon tax
KHM,2012,No carbon tax
KHM,2013,No carbon tax
KHM,2014,No carbon tax
KHM,2015,No carbon tax
KHM,2016,No carbon tax
KHM,2017,No carbon tax
KHM,2018,No carbon tax
KHM,2019,No carbon tax
KHM,2020,No carbon tax
KHM,2021,No carbon tax
KHM,2022,No carbon tax
CMR,1989,No carbon tax
CMR,1990,No carbon tax
CMR,1991,No carbon tax
CMR,1992,No carbon tax
CMR,1993,No carbon tax
CMR,1994,No carbon tax
CMR,1995,No carbon tax
CMR,1996,No carbon tax
CMR,1997,No carbon tax
