Code,Year,Renewable Energy Patent
BGR,2005,22
BGR,2006,19
BGR,2007,15
BGR,2008,18
BGR,2009,14
BGR,2010,7
BGR,2011,27
BGR,2012,33
BGR,2013,27
BGR,2014,9
BGR,2015,22
BGR,2016,13
BGR,2017,8
BGR,2018,20
BGR,2019,15
BGR,2020,13
CAN,2000,1390
CAN,2001,1451
CAN,2002,1610
CAN,2003,1643
CAN,2004,1727
CAN,2005,1819
CAN,2006,2064
CAN,2007,2592
CAN,2008,2688
CAN,2009,3090
CAN,2010,3449
CAN,2011,3386
CAN,2012,3463
CAN,2013,3182
CAN,2014,3108
CAN,2015,2952
CAN,2016,2621
CAN,2017,2574
CAN,2018,2377
CAN,2019,2194
CAN,2020,1028
CAN,2021,130
CHL,2003,1
CHL,2004,7
CHL,2006,5
CHL,2007,31
CHL,2008,106
CHL,2009,95
CHL,2010,63
CHL,2011,230
CHL,2012,306
CHL,2013,322
CHL,2014,333
CHL,2015,306
CHL,2016,287
CHL,2017,192
CHL,2018,169
CHL,2019,205
CHL,2020,191
CHL,2021,54
CHN,2000,2135
CHN,2001,2693
CHN,2002,3537
CHN,2003,4540
CHN,2004,5822
CHN,2005,7831
CHN,2006,12269
CHN,2007,15231
CHN,2008,20038
CHN,2009,26551
CHN,2010,35316
CHN,2011,44296
CHN,2012,49066
CHN,2013,48013
CHN,2014,53074
CHN,2015,65530
CHN,2016,91364
CHN,2017,117602
CHN,2018,133385
CHN,2019,144778
CHN,2020,160807
CHN,2021,48909
COL,2000,12
COL,2001,5
COL,2002,1
COL,2004,4
COL,2005,11
COL,2006,3
COL,2007,10
COL,2008,21
COL,2009,47
COL,2010,49
COL,2011,105
COL,2012,110
COL,2013,98
COL,2014,58
COL,2015,18
COL,2016,7
COL,2017,63
COL,2018,79
COL,2019,69
COL,2020,62
COL,2021,64
CRI,2003,5
CRI,2004,4
CRI,2005,11
CRI,2006,3
CRI,2007,10
CRI,2008,16
CRI,2009,15
CRI,2010,10
CRI,2011,33
CRI,2012,8
CRI,2013,26
CRI,2014,18
CRI,2015,14
CRI,2016,2
CRI,2017,9
CRI,2018,22
CRI,2019,9
HRV,2000,13
HRV,2001,11
HRV,2002,10
HRV,2003,11
HRV,2004,17
HRV,2005,11
HRV,2006,15
HRV,2007,13
HRV,2008,23
HRV,2009,17
HRV,2010,14
HRV,2011,60
HRV,2012,79
HRV,2013,61
HRV,2014,76
HRV,2015,74
HRV,2016,130
HRV,2017,132
HRV,2018,156
HRV,2019,159
HRV,2020,112
HRV,2021,91
CUB,2000,12
CUB,2002,6
CUB,2003,1
CUB,2005,5
CUB,2006,1
CUB,2007,5
CUB,2008,4
CUB,2009,9
CUB,2010,4
CUB,2011,20
CUB,2012,14
CUB,2013,18
CUB,2014,70
CUB,2015,13
CUB,2016,3
CUB,2017,17
CUB,2019,3
CYP,2004,1
CYP,2005,3
CYP,2006,5
CYP,2007,23
CYP,2008,38
CYP,2009,29
CYP,2010,34
CYP,2011,49
CYP,2012,85
CYP,2013,54
CYP,2014,62
CYP,2015,77
CYP,2016,90
CYP,2017,73
CYP,2018,78
CYP,2019,24
CZE,2000,104
CZE,2001,94
CZE,2002,62
CZE,2003,53
CZE,2004,38
CZE,2005,48
CZE,2006,59
CZE,2007,86
CZE,2008,73
CZE,2009,111
CZE,2010,77
CZE,2011,98
CZE,2012,133
CZE,2013,59
CZE,2014,59
CZE,2015,39
CZE,2016,37
CZE,2017,66
CZE,2018,78
CZE,2019,96
CZE,2020,46
CZE,2021,24
DNK,2000,255
DNK,2001,217
DNK,2002,319
DNK,2003,296
DNK,2004,335
DNK,2005,350
DNK,2006,379
DNK,2007,473
DNK,2008,642
DNK,2009,834
DNK,2010,1022
DNK,2011,1204
DNK,2012,1164
DNK,2013,1054
DNK,2014,1001
DNK,2015,798
DNK,2016,727
DNK,2017,575
DNK,2018,355
DNK,2019,164
DNK,2020,65
DNK,2021,31
DOM,2006,1
DOM,2007,1
DOM,2009,8
DOM,2010,11
DOM,2011,11
DOM,2012,12
DOM,2013,9
DOM,2014,4
DOM,2015,5
DOM,2016,9
DOM,2017,7
DOM,2018,4
DOM,2019,13
DOM,2020,3
DOM,2021,1
ECU,2000,1
ECU,2003,3
ECU,2004,2
ECU,2005,9
ECU,2006,9
ECU,2007,5
ECU,2008,10
ECU,2009,23
ECU,2010,21
ECU,2011,55
ECU,2012,20
ECU,2013,20
ECU,2014,10
ECU,2015,11
ECU,2016,1
ECU,2017,7
ECU,2018,14
ECU,2019,18
ECU,2020,11
EGY,2000,11
EGY,2001,7
EGY,2002,8
EGY,2003,4
EGY,2004,3
EGY,2005,12
EGY,2006,20
EGY,2007,29
EGY,2008,38
EGY,2009,60
EGY,2010,53
EGY,2011,57
EGY,2012,23
SLV,2005,1
SLV,2009,5
SLV,2010,5
SLV,2011,4
SLV,2013,1
SLV,2016,1
SLV,2017,5
SLV,2018,1
EST,2000,4
EST,2001,9
EST,2002,5
EST,2004,2
EST,2005,10
EST,2006,1
EST,2007,4
EST,2008,11
EST,2009,5
EST,2010,12
EST,2011,4
EST,2012,2
EST,2013,1
EST,2014,2
EST,2015,1
EST,2016,9
EST,2017,2
EST,2018,2
EST,2019,2
,2000,7777
,2001,7710
,2002,8485
,2003,8355
,2004,8609
,2005,9828
,2006,11319
,2007,13864
,2008,16070
,2009,18366
,2010,20544
,2011,21950
,2012,22075
,2013,19673
,2014,18627
,2015,17473
,2016,16464
,2017,17753
,2018,18072
,2019,16818
,2020,10183
,2021,1576
,2000,6861
,2001,6653
,2002,7352
,2003,6904
,2004,7228
,2005,8031
,2006,9149
,2007,11073
,2008,12898
,2009,14851
,2010,16789
,2011,18169
,2012,18108
,2013,16102
,2014,15039
,2015,14113
,2016,13597
,2017,14811
,2018,15212
,2019,14161
,2020,6763
,2021,1373
FIN,2000,21
FIN,2001,20
FIN,2002,26
FIN,2003,28
FIN,2004,35
FIN,2005,41
FIN,2006,71
FIN,2007,57
FIN,2008,89
FIN,2009,89
FIN,2010,124
FIN,2011,91
FIN,2012,104
FIN,2013,77
FIN,2014,89
FIN,2015,74
FIN,2016,89
FIN,2017,105
FIN,2018,137
FIN,2019,136
FIN,2020,55
FIN,2021,4
FRA,2000,407
FRA,2001,381
FRA,2002,458
FRA,2003,461
FRA,2004,594
FRA,2005,630
FRA,2006,765
FRA,2007,979
FRA,2008,1215
FRA,2009,1678
FRA,2010,1982
FRA,2011,2168
FRA,2012,2049
FRA,2013,1835
FRA,2014,1569
FRA,2015,1520
FRA,2016,1336
FRA,2017,1482
FRA,2018,1626
FRA,2019,1796
FRA,2020,678
FRA,2021,36
GEO,2000,11
GEO,2001,9
GEO,2002,5
GEO,2003,6
GEO,2004,7
GEO,2005,10
GEO,2006,7
GEO,2007,6
GEO,2008,4
GEO,2009,6
GEO,2010,14
GEO,2011,13
GEO,2012,7
GEO,2013,2
GEO,2014,4
GEO,2015,4
GEO,2016,4
GEO,2019,3
DEU,2000,3936
DEU,2001,3830
DEU,2002,3986
DEU,2003,3767
DEU,2004,3639
DEU,2005,4152
DEU,2006,4727
DEU,2007,5644
DEU,2008,6181
DEU,2009,6912
DEU,2010,8181
DEU,2011,8980
DEU,2012,9194
DEU,2013,8238
DEU,2014,7969
DEU,2015,7512
DEU,2016,7528
DEU,2017,9146
DEU,2018,10075
DEU,2019,10159
DEU,2020,5118
DEU,2021,1050
GRC,2000,70
GRC,2001,47
GRC,2002,10
GRC,2003,29
GRC,2004,23
GRC,2005,17
GRC,2006,71
GRC,2007,66
GRC,2008,72
GRC,2009,80
GRC,2010,108
GRC,2011,98
GRC,2012,55
GRC,2013,54
GRC,2014,60
GRC,2015,34
GRC,2016,47
GRC,2017,26
GRC,2018,41
GRC,2019,25
GRC,2020,18
GTM,2000,1
GTM,2001,2
GTM,2005,1
GTM,2007,7
GTM,2008,3
GTM,2009,15
GTM,2010,1
GTM,2011,5
GTM,2012,12
GTM,2013,10
GTM,2014,4
GTM,2015,5
GTM,2016,4
GTM,2017,8
,2000,31486
,2001,34522
,2002,36419
,2003,40140
,2004,41373
,2005,46094
,2006,52021
,2007,59383
,2008,68226
,2009,79500
,2010,94656
,2011,107274
,2012,109293
,2013,99909
,2014,97179
,2015,91245
,2016,91769
,2017,92650
,2018,96028
,2019,89755
,2020,45552
,2021,12561
HND,2008,4
HND,2009,1
HND,2010,3
HND,2011,5
HND,2012,1
HKG,2000,78
HKG,2001,87
HKG,2002,224
HKG,2003,165
HKG,2004,116
HKG,2005,155
HKG,2006,192
HKG,2007,150
HKG,2008,198
HKG,2009,215
HKG,2010,211
HKG,2011,305
HKG,2012,270
HKG,2013,268
HKG,2014,198
HKG,2015,632
HKG,2016,554
HKG,2017,28
HKG,2018,466
HKG,2019,62
HUN,2000,60
HUN,2001,63
HUN,2002,69
HUN,2003,27
HUN,2004,48
HUN,2005,36
HUN,2006,64
HUN,2007,99
HUN,2008,101
HUN,2009,141
HUN,2010,189
HUN,2011,191
HUN,2012,219
HUN,2013,227
HUN,2014,234
HUN,2015,270
HUN,2016,219
HUN,2017,202
HUN,2018,115
HUN,2019,39
HUN,2020,9
ISL,2000,3
ISL,2001,13
ISL,2002,11
ISL,2003,22
ISL,2004,8
ISL,2005,11
ISL,2006,11
ISL,2008,1
ISL,2011,4
ISL,2014,1
ISL,2016,2
ISL,2018,1
ISL,2019,4
IND,2000,4
IND,2001,4
IND,2002,2
IND,2003,4
IND,2004,9
IND,2005,7
IND,2006,4
IND,2007,3
IND,2008,3
IND,2009,8
IND,2010,3
IND,2011,12
IND,2012,520
IND,2013,186
IND,2014,1257
IND,2015,432
IND,2017,2
IND,2019,1
IDN,2000,40
IDN,2001,4
IRL,2000,8
IRL,2001,6
IRL,2002,1
IRL,2004,1
IRL,2005,10
IRL,2006,9
IRL,2007,14
IRL,2008,58
IRL,2009,29
IRL,2010,23
IRL,2011,11
IRL,2012,14
IRL,2013,10
IRL,2014,7
IRL,2015,13
IRL,2016,6
IRL,2017,3
IRL,2018,2
IRL,2019,3
IRL,2020,6
ISR,2000,123
ISR,2001,114
ISR,2002,113
ISR,2003,80
ISR,2004,62
ISR,2005,69
ISR,2006,170
ISR,2007,173
ISR,2008,318
ISR,2009,314
ISR,2010,405
ISR,2011,533
ISR,2012,493
ISR,2013,346
ISR,2014,357
ISR,2015,370
ISR,2016,361
ISR,2017,290
ISR,2018,274
ISR,2019,230
ISR,2020,241
ISR,2021,182
ITA,2000,88
ITA,2001,112
ITA,2002,94
ITA,2003,115
ITA,2004,103
ITA,2005,111
ITA,2006,207
ITA,2007,265
ITA,2008,368
ITA,2009,637
ITA,2010,634
ITA,2011,718
ITA,2012,567
ITA,2013,481
ITA,2014,10
ITA,2015,238
ITA,2016,335
ITA,2017,326
ITA,2018,402
ITA,2019,253
JPN,2000,12946
JPN,2001,13502
JPN,2002,13932
JPN,2003,14621
JPN,2004,15565
JPN,2005,15703
JPN,2006,16987
JPN,2007,17499
JPN,2008,18585
JPN,2009,20761
JPN,2010,24248
JPN,2011,28262
JPN,2012,29338
JPN,2013,25299
JPN,2014,23756
JPN,2015,21387
JPN,2016,21750
JPN,2017,21193
JPN,2018,22580
JPN,2019,18949
JPN,2020,7216
JPN,2021,1233
JOR,2000,2
JOR,2004,2
JOR,2006,3
JOR,2007,8
JOR,2008,12
JOR,2009,6
JOR,2010,3
JOR,2011,4
JOR,2012,1
JOR,2013,3
JOR,2014,1
JOR,2015,8
JOR,2016,2
JOR,2017,4
JOR,2018,2
JOR,2019,9
JOR,2020,14
JOR,2021,5
KAZ,2004,2
KAZ,2006,2
KAZ,2010,1
KAZ,2011,2
LVA,2000,6
LVA,2001,1
LVA,2002,5
LVA,2003,5
LVA,2004,4
LVA,2005,2
LVA,2006,10
LVA,2007,8
LVA,2008,10
LVA,2009,13
LVA,2010,7
LVA,2011,10
LVA,2012,11
LVA,2013,10
LVA,2014,6
LVA,2015,7
LVA,2016,8
LVA,2017,6
LVA,2018,6
LVA,2019,5
LVA,2020,1
LTU,2000,5
LTU,2001,3
LTU,2002,8
LTU,2003,6
LTU,2004,4
LTU,2005,1
LTU,2006,9
LTU,2007,17
LTU,2008,28
LTU,2009,48
LTU,2010,63
LTU,2011,58
LTU,2012,59
LTU,2013,82
LTU,2014,69
LTU,2015,57
LTU,2016,46
LTU,2017,29
LTU,2018,19
LTU,2019,21
LTU,2020,3
,2000,97
,2001,74
,2002,74
,2003,182
,2004,122
,2005,202
,2006,207
,2007,319
,2008,332
,2009,499
,2010,548
,2011,569
,2012,1062
,2013,708
,2014,1873
,2015,1226
,2016,572
,2017,602
,2018,628
,2019,481
,2020,230
,2021,67
LUX,2000,2
LUX,2001,3
LUX,2002,4
LUX,2005,6
LUX,2006,1
LUX,2007,1
LUX,2008,2
LUX,2009,12
LUX,2010,9
LUX,2011,10
LUX,2012,8
LUX,2013,4
LUX,2014,10
LUX,2015,27
LUX,2016,12
LUX,2017,24
LUX,2018,20
LUX,2019,12
LUX,2020,41
LUX,2021,7
MYS,2000,71
MYS,2001,45
MYS,2002,38
MYS,2003,37
MYS,2004,79
MYS,2005,82
MYS,2006,103
MYS,2007,152
MYS,2008,194
MYS,2009,179
MYS,2010,275
MYS,2011,309
MYS,2012,263
MYS,2013,94
MYS,2014,113
MYS,2015,35
MEX,2000,259
MEX,2001,306
MEX,2002,333
MEX,2003,261
MEX,2004,254
MEX,2005,348
MEX,2006,338
MEX,2007,692
MEX,2008,629
MEX,2009,746
MEX,2010,1004
MEX,2011,973
MEX,2012,989
MEX,2013,844
MEX,2014,972
MEX,2015,919
MEX,2016,780
MEX,2017,795
MEX,2018,240
MEX,2019,36
MDA,2000,6
MDA,2001,27
MDA,2002,22
MDA,2003,13
MDA,2004,14
MDA,2005,30
MDA,2006,9
MDA,2007,36
MDA,2008,32
MDA,2009,29
MDA,2010,15
MDA,2011,8
MDA,2012,23
MDA,2013,10
MDA,2014,15
MDA,2015,24
MDA,2016,13
MDA,2017,6
MDA,2018,15
MDA,2019,4
MDA,2020,13
MCO,2002,1
MCO,2007,1
MCO,2010,1
MCO,2011,1
MCO,2015,1
MNE,2003,1
MNE,2005,6
MNE,2007,8
MNE,2008,3
MNE,2009,3
MNE,2010,2
MNE,2011,14
MNE,2012,21
MNE,2013,6
MAR,2000,6
MAR,2001,9
MAR,2002,16
MAR,2003,25
MAR,2004,26
MAR,2005,21
MAR,2006,22
MAR,2007,39
MAR,2008,65
MAR,2009,70
MAR,2010,112
MAR,2011,193
MAR,2012,190
MAR,2013,195
MAR,2014,150
MAR,2015,247
MAR,2016,144
MAR,2017,129
MAR,2018,211
MAR,2019,90
MAR,2020,6
NLD,2000,98
NLD,2001,94
NLD,2002,102
NLD,2003,66
NLD,2004,71
NLD,2005,97
NLD,2006,99
NLD,2007,75
NLD,2008,131
NLD,2009,201
NLD,2010,195
NLD,2011,224
NLD,2012,138
NLD,2013,169
NLD,2014,147
NLD,2015,126
NLD,2016,133
NLD,2017,198
NLD,2018,196
NLD,2019,204
NLD,2020,72
NLD,2021,11
NZL,2000,68
NZL,2001,125
NZL,2002,167
NZL,2003,99
NZL,2004,151
NZL,2005,163
NZL,2006,198
NZL,2007,246
NZL,2008,204
NZL,2009,394
NZL,2010,391
NZL,2011,336
NZL,2012,390
NZL,2013,245
NZL,2014,231
NZL,2015,55
NZL,2016,63
NZL,2017,59
NZL,2018,24
NZL,2019,9
NIC,2006,1
NIC,2007,11
NIC,2009,8
NIC,2010,11
NIC,2011,7
NIC,2012,8
NIC,2013,10
NIC,2015,2
NIC,2016,3
NIC,2017,1
NIC,2018,1
NIC,2019,2
,2000,6657
,2001,8339
,2002,9178
,2003,10096
,2004,11632
,2005,13950
,2006,15234
,2007,18550
,2008,20914
,2009,24455
,2010,30695
,2011,34945
,2012,35726
,2013,34611
,2014,34715
,2015,34018
,2016,33547
,2017,34850
,2018,33867
,2019,33187
,2020,20119
,2021,7081
NOR,2000,137
NOR,2001,139
NOR,2002,131
NOR,2003,207
NOR,2004,172
NOR,2005,186
NOR,2006,212
NOR,2007,263
NOR,2008,232
NOR,2009,228
NOR,2010,112
NOR,2011,153
NOR,2012,116
NOR,2013,124
NOR,2014,177
NOR,2015,127
NOR,2016,90
NOR,2017,77
NOR,2018,84
NOR,2019,130
NOR,2020,72
NOR,2021,8
,2000,1851
,2001,2506
,2002,1775
,2003,3473
,2004,1033
,2005,1111
,2006,1218
,2007,1714
,2008,1875
,2009,2536
,2010,3039
,2011,2732
,2012,2766
,2013,2317
,2014,2038
,2015,1785
,2016,1774
,2017,1991
,2018,2119
,2019,1992
,2020,1202
,2021,727
PAN,2000,2
PAN,2001,1
PAN,2002,1
PAN,2003,1
PAN,2004,3
PAN,2005,2
PAN,2006,1
PAN,2007,2
PAN,2008,3
PAN,2009,2
PER,2000,31
PER,2001,12
PER,2002,8
PER,2003,11
PER,2004,9
PER,2005,11
PER,2006,15
PER,2007,19
PER,2008,44
PER,2009,50
PER,2010,80
PER,2011,66
PER,2012,58
PER,2013,39
PER,2014,37
PER,2015,52
PER,2016,62
PER,2017,45
PER,2018,68
PER,2019,83
PER,2020,17
PER,2021,1
PHL,2005,2
PHL,2007,1
PHL,2008,1
PHL,2011,2
PHL,2012,3
PHL,2013,22
PHL,2014,153
PHL,2015,301
PHL,2016,259
PHL,2017,251
PHL,2018,315
PHL,2019,357
PHL,2020,222
PHL,2021,67
POL,2000,119
POL,2001,127
POL,2002,189
POL,2003,177
POL,2004,249
POL,2005,308
POL,2006,309
POL,2007,359
POL,2008,509
POL,2009,586
POL,2010,794
POL,2011,896
POL,2012,892
POL,2013,873
POL,2014,867
POL,2015,867
POL,2016,788
POL,2017,656
POL,2018,544
POL,2019,240
POL,2020,93
POL,2021,5
PRT,2000,131
PRT,2001,134
PRT,2002,214
PRT,2003,145
PRT,2004,172
PRT,2005,172
PRT,2006,169
PRT,2007,199
PRT,2008,259
PRT,2009,346
PRT,2010,347
PRT,2011,377
PRT,2012,402
PRT,2013,346
PRT,2014,358
PRT,2015,275
PRT,2016,243
PRT,2017,199
PRT,2018,116
PRT,2019,44
PRT,2020,5
ROU,2000,18
ROU,2001,18
ROU,2002,18
ROU,2003,14
ROU,2004,20
ROU,2005,31
ROU,2006,25
ROU,2007,31
ROU,2008,82
ROU,2009,95
ROU,2010,92
ROU,2011,144
ROU,2012,69
ROU,2013,91
ROU,2014,77
ROU,2015,83
ROU,2016,66
ROU,2017,61
ROU,2018,53
ROU,2019,58
ROU,2020,20
ROU,2021,13
RUS,2000,403
RUS,2001,439
RUS,2002,460
RUS,2003,569
RUS,2004,571
RUS,2005,745
RUS,2006,951
RUS,2007,1200
RUS,2008,1298
RUS,2009,1468
RUS,2010,1679
RUS,2011,1785
RUS,2012,1864
RUS,2013,1624
RUS,2014,1628
RUS,2015,1510
RUS,2016,1320
RUS,2017,1336
RUS,2018,1193
RUS,2019,1208
RUS,2020,2494
RUS,2021,116
SMR,2006,1
SMR,2007,2
SMR,2008,5
SMR,2009,10
SMR,2010,2
SMR,2011,14
SMR,2013,5
SMR,2014,2
SMR,2015,10
SMR,2016,18
SMR,2017,1
SAU,2000,8
SAU,2001,2
SAU,2002,2
SAU,2004,3
SAU,2005,12
SAU,2006,2
SAU,2007,2
SAU,2008,9
SAU,2009,5
SAU,2010,11
SAU,2011,13
SAU,2012,33
SAU,2013,9
SAU,2014,10
SAU,2015,121
SAU,2016,101
SAU,2017,61
SAU,2018,10
SAU,2019,2
SRB,2004,1
SRB,2005,8
SRB,2006,11
SRB,2007,23
SRB,2008,24
SRB,2009,18
SRB,2010,39
SRB,2011,88
SRB,2012,91
SRB,2013,62
SRB,2014,43
SRB,2015,47
SRB,2016,53
SRB,2017,34
SRB,2018,29
SRB,2019,5
SRB,2020,5
SRB,2021,1
SGP,2000,52
SGP,2001,35
SGP,2002,43
SGP,2003,71
SGP,2004,74
SGP,2005,69
SGP,2006,93
SGP,2007,130
SGP,2008,95
SGP,2009,221
SGP,2010,504
SGP,2011,566
SGP,2012,600
SGP,2013,648
SGP,2014,713
SGP,2015,624
SGP,2016,376
SGP,2017,392
SGP,2018,375
SGP,2019,400
SGP,2020,131
SGP,2021,10
SVK,2000,21
SVK,2001,27
SVK,2002,20
SVK,2003,4
SVK,2004,10
SVK,2005,5
SVK,2006,11
SVK,2007,16
SVK,2008,15
SVK,2009,32
SVK,2010,21
SVK,2011,30
SVK,2012,21
SVK,2013,42
SVK,2014,28
SVK,2015,36
SVK,2016,24
SVK,2017,19
SVK,2018,45
SVK,2019,45
SVK,2020,44
SVK,2021,3
SVN,2000,13
SVN,2001,12
SVN,2002,19
SVN,2003,78
SVN,2004,78
SVN,2005,60
SVN,2006,64
SVN,2007,91
SVN,2008,96
SVN,2009,118
SVN,2010,133
SVN,2011,124
SVN,2012,164
SVN,2013,105
SVN,2014,89
SVN,2015,78
SVN,2016,67
SVN,2017,39
SVN,2018,27
SVN,2019,22
SVN,2021,1
ZAF,2000,55
ZAF,2001,115
ZAF,2002,119
ZAF,2003,124
ZAF,2004,171
ZAF,2005,198
ZAF,2006,168
ZAF,2007,226
ZAF,2008,241
ZAF,2009,266
ZAF,2010,479
ZAF,2011,672
ZAF,2012,673
ZAF,2013,606
ZAF,2014,596
ZAF,2015,429
ZAF,2016,305
ZAF,2017,259
ZAF,2018,311
ZAF,2019,232
ZAF,2020,110
ZAF,2021,25
,2000,514
,2001,552
,2002,565
,2003,580
,2004,661
,2005,775
,2006,1048
,2007,1528
,2008,1704
,2009,2244
,2010,2840
,2011,2951
,2012,2963
,2013,2515
,2014,1976
,2015,1900
,2016,1963
,2017,1795
,2018,1694
,2019,1498
,2020,421
,2021,133
KOR,2000,2080
KOR,2001,2273
KOR,2002,2790
KOR,2003,3414
KOR,2004,4080
KOR,2005,5253
KOR,2006,6623
KOR,2007,7439
KOR,2008,9815
KOR,2009,12313
KOR,2010,14598
KOR,2011,16781
KOR,2012,16844
KOR,2013,15990
KOR,2014,16304
KOR,2015,14403
KOR,2016,16322
KOR,2017,15694
KOR,2018,16789
KOR,2019,16906
KOR,2020,7385
KOR,2021,1713
ESP,2000,550
ESP,2001,524
ESP,2002,668
ESP,2003,668
ESP,2004,833
ESP,2005,878
ESP,2006,1030
ESP,2007,1367
ESP,2008,1626
ESP,2009,1872
ESP,2010,2108
ESP,2011,2174
ESP,2012,2291
ESP,2013,1922
ESP,2014,1926
ESP,2015,1526
ESP,2016,1340
ESP,2017,1072
ESP,2018,696
ESP,2019,324
ESP,2020,203
ESP,2021,92
SWE,2000,65
SWE,2001,68
SWE,2002,74
SWE,2003,51
SWE,2004,51
SWE,2005,52
SWE,2006,70
SWE,2007,97
SWE,2008,119
SWE,2009,151
SWE,2010,131
SWE,2011,96
SWE,2012,104
SWE,2013,88
SWE,2014,100
SWE,2015,149
SWE,2016,134
SWE,2017,145
SWE,2018,156
SWE,2019,108
SWE,2020,70
SWE,2021,4
CHE,2000,26
CHE,2001,21
CHE,2002,11
CHE,2003,25
CHE,2004,13
CHE,2005,19
CHE,2006,38
CHE,2007,28
CHE,2008,94
CHE,2009,130
CHE,2010,148
CHE,2011,149
CHE,2012,136
CHE,2013,123
CHE,2014,126
CHE,2015,102
CHE,2016,85
CHE,2017,90
CHE,2018,102
CHE,2019,85
CHE,2020,61
CHE,2021,4
TWN,2000,632
TWN,2001,788
TWN,2002,753
TWN,2003,881
TWN,2004,1126
TWN,2005,1261
TWN,2006,1659
TWN,2007,2044
TWN,2008,2424
TWN,2009,2830
TWN,2010,3424
TWN,2011,4119
TWN,2012,4123
TWN,2013,3292
TWN,2014,3133
TWN,2015,2831
TWN,2016,2546
TWN,2017,2607
TWN,2018,2917
TWN,2019,2297
TWN,2020,1404
TWN,2021,103
TJK,2001,2
TJK,2002,2
TJK,2005,1
TUN,2000,5
TUN,2001,2
TUN,2002,1
TUN,2003,2
TUN,2004,4
TUN,2005,10
TUN,2006,6
TUN,2007,20
TUN,2008,55
TUN,2009,66
TUN,2010,47
TUN,2011,80
TUN,2012,80
TUN,2013,65
TUN,2014,62
TUN,2015,58
TUN,2016,21
TUN,2017,32
TUN,2018,10
TUN,2019,10
TUR,2000,59
TUR,2001,25
TUR,2002,14
TUR,2003,15
TUR,2004,29
TUR,2005,28
TUR,2006,23
TUR,2007,65
TUR,2008,69
TUR,2009,92
TUR,2010,92
TUR,2011,102
TUR,2012,75
TUR,2013,62
TUR,2014,96
TUR,2015,101
TUR,2016,108
TUR,2017,132
TUR,2018,49
TUR,2019,75
TUR,2020,59
TUR,2021,26
UKR,2000,26
UKR,2001,40
UKR,2002,43
UKR,2003,147
UKR,2004,80
UKR,2005,148
UKR,2006,154
UKR,2007,216
UKR,2008,166
UKR,2009,281
UKR,2010,312
UKR,2011,209
UKR,2012,237
UKR,2013,229
UKR,2014,251
UKR,2015,186
UKR,2016,144
UKR,2017,182
UKR,2018,90
UKR,2019,21
UKR,2020,2
GBR,2000,315
GBR,2001,378
GBR,2002,454
GBR,2003,467
GBR,2004,522
