Code,Year,Covered by emissions trading system in at least one sector
AUS,2011,No ETS
AUS,2012,No ETS
AUS,2013,No ETS
AUS,2014,No ETS
AUS,2015,No ETS
AUS,2016,No ETS
AUS,2017,No ETS
AUS,2018,No ETS
AUS,2019,No ETS
AUS,2020,No ETS
AUS,2021,No ETS
AUS,2022,No ETS
AUT,1989,No ETS
AUT,1990,No ETS
AUT,1991,No ETS
AUT,1992,No ETS
AUT,1993,No ETS
AUT,1994,No ETS
AUT,1995,No ETS
AUT,1996,No ETS
AUT,1997,No ETS
AUT,1998,No ETS
AUT,1999,No ETS
AUT,2000,No ETS
AUT,2001,No ETS
AUT,2002,No ETS
AUT,2003,No ETS
AUT,2004,No ETS
AUT,2005,Has an ETS
AUT,2006,Has an ETS
AUT,2007,Has an ETS
AUT,2008,Has an ETS
AUT,2009,Has an ETS
AUT,2010,Has an ETS
AUT,2011,Has an ETS
AUT,2012,Has an ETS
AUT,2013,Has an ETS
AUT,2014,Has an ETS
AUT,2015,Has an ETS
AUT,2016,Has an ETS
AUT,2017,Has an ETS
AUT,2018,Has an ETS
AUT,2019,Has an ETS
AUT,2020,Has an ETS
AUT,2021,Has an ETS
AUT,2022,Has an ETS
AZE,1989,No ETS
AZE,1990,No ETS
AZE,1991,No ETS
AZE,1992,No ETS
AZE,1993,No ETS
AZE,1994,No ETS
AZE,1995,No ETS
AZE,1996,No ETS
AZE,1997,No ETS
AZE,1998,No ETS
AZE,1999,No ETS
AZE,2000,No ETS
AZE,2001,No ETS
AZE,2002,No ETS
AZE,2003,No ETS
AZE,2004,No ETS
AZE,2005,No ETS
AZE,2006,No ETS
AZE,2007,No ETS
AZE,2008,No ETS
AZE,2009,No ETS
AZE,2010,No ETS
AZE,2011,No ETS
AZE,2012,No ETS
AZE,2013,No ETS
AZE,2014,No ETS
AZE,2015,No ETS
AZE,2016,No ETS
AZE,2017,No ETS
AZE,2018,No ETS
AZE,2019,No ETS
AZE,2020,No ETS
AZE,2021,No ETS
AZE,2022,No ETS
BHS,1989,No ETS
BHS,1990,No ETS
BHS,1991,No ETS
BHS,1992,No ETS
BHS,1993,No ETS
BHS,1994,No ETS
BHS,1995,No ETS
BHS,1996,No ETS
BHS,1997,No ETS
BHS,1998,No ETS
BHS,1999,No ETS
BHS,2000,No ETS
BHS,2001,No ETS
BHS,2002,No ETS
BHS,2003,No ETS
BHS,2004,No ETS
BHS,2005,No ETS
BHS,2006,No ETS
BHS,2007,No ETS
BHS,2008,No ETS
BHS,2009,No ETS
BHS,2010,No ETS
BHS,2011,No ETS
BHS,2012,No ETS
BHS,2013,No ETS
BHS,2014,No ETS
BHS,2015,No ETS
BHS,2016,No ETS
BHS,2017,No ETS
BHS,2018,No ETS
BHS,2019,No ETS
BHS,2020,No ETS
BHS,2021,No ETS
BHS,2022,No ETS
BHR,1989,No ETS
BHR,1990,No ETS
BHR,1991,No ETS
BHR,1992,No ETS
BHR,1993,No ETS
BHR,1994,No ETS
BHR,1995,No ETS
BHR,1996,No ETS
BHR,1997,No ETS
BHR,1998,No ETS
BHR,1999,No ETS
BHR,2000,No ETS
BHR,2001,No ETS
BHR,2002,No ETS
BHR,2003,No ETS
BHR,2004,No ETS
BHR,2005,No ETS
BHR,2006,No ETS
BHR,2007,No ETS
BHR,2008,No ETS
BHR,2009,No ETS
BHR,2010,No ETS
BHR,2011,No ETS
BHR,2012,No ETS
BHR,2013,No ETS
BHR,2014,No ETS
BHR,2015,No ETS
BHR,2016,No ETS
BHR,2017,No ETS
BHR,2018,No ETS
BHR,2019,No ETS
BHR,2020,No ETS
BHR,2021,No ETS
BHR,2022,No ETS
BGD,1989,No ETS
BGD,1990,No ETS
BGD,1991,No ETS
BGD,1992,No ETS
BGD,1993,No ETS
BGD,1994,No ETS
BGD,1995,No ETS
BGD,1996,No ETS
BGD,1997,No ETS
BGD,1998,No ETS
BGD,1999,No ETS
BGD,2000,No ETS
BGD,2001,No ETS
BGD,2002,No ETS
BGD,2003,No ETS
BGD,2004,No ETS
BGD,2005,No ETS
BGD,2006,No ETS
BGD,2007,No ETS
BGD,2008,No ETS
BGD,2009,No ETS
BGD,2010,No ETS
BGD,2011,No ETS
BGD,2012,No ETS
BGD,2013,No ETS
BGD,2014,No ETS
BGD,2015,No ETS
BGD,2016,No ETS
BGD,2017,No ETS
BGD,2018,No ETS
BGD,2019,No ETS
BGD,2020,No ETS
BGD,2021,No ETS
BGD,2022,No ETS
BRB,1989,No ETS
BRB,1990,No ETS
BRB,1991,No ETS
BRB,1992,No ETS
BRB,1993,No ETS
BRB,1994,No ETS
BRB,1995,No ETS
BRB,1996,No ETS
BRB,1997,No ETS
BRB,1998,No ETS
BRB,1999,No ETS
BRB,2000,No ETS
BRB,2001,No ETS
BRB,2002,No ETS
BRB,2003,No ETS
BRB,2004,No ETS
BRB,2005,No ETS
BRB,2006,No ETS
BRB,2007,No ETS
BRB,2008,No ETS
BRB,2009,No ETS
BRB,2010,No ETS
BRB,2011,No ETS
BRB,2012,No ETS
BRB,2013,No ETS
BRB,2014,No ETS
BRB,2015,No ETS
BRB,2016,No ETS
BRB,2017,No ETS
BRB,2018,No ETS
BRB,2019,No ETS
BRB,2020,No ETS
BRB,2021,No ETS
BRB,2022,No ETS
BLR,1989,No ETS
BLR,1990,No ETS
BLR,1991,No ETS
BLR,1992,No ETS
BLR,1993,No ETS
BLR,1994,No ETS
BLR,1995,No ETS
BLR,1996,No ETS
BLR,1997,No ETS
BLR,1998,No ETS
BLR,1999,No ETS
BLR,2000,No ETS
BLR,2001,No ETS
BLR,2002,No ETS
BLR,2003,No ETS
BLR,2004,No ETS
BLR,2005,No ETS
BLR,2006,No ETS
BLR,2007,No ETS
BLR,2008,No ETS
BLR,2009,No ETS
BLR,2010,No ETS
BLR,2011,No ETS
BLR,2012,No ETS
BLR,2013,No ETS
BLR,2014,No ETS
BLR,2015,No ETS
BLR,2016,No ETS
BLR,2017,No ETS
BLR,2018,No ETS
BLR,2019,No ETS
BLR,2020,No ETS
BLR,2021,No ETS
BLR,2022,No ETS
BEL,1989,No ETS
BEL,1990,No ETS
BEL,1991,No ETS
BEL,1992,No ETS
BEL,1993,No ETS
BEL,1994,No ETS
BEL,1995,No ETS
BEL,1996,No ETS
BEL,1997,No ETS
BEL,1998,No ETS
BEL,1999,No ETS
BEL,2000,No ETS
BEL,2001,No ETS
BEL,2002,No ETS
BEL,2003,No ETS
BEL,2004,No ETS
BEL,2005,Has an ETS
BEL,2006,Has an ETS
BEL,2007,Has an ETS
BEL,2008,Has an ETS
BEL,2009,Has an ETS
BEL,2010,Has an ETS
BEL,2011,Has an ETS
BEL,2012,Has an ETS
BEL,2013,Has an ETS
BEL,2014,Has an ETS
BEL,2015,Has an ETS
BEL,2016,Has an ETS
BEL,2017,Has an ETS
BEL,2018,Has an ETS
BEL,2019,Has an ETS
BEL,2020,Has an ETS
BEL,2021,Has an ETS
BEL,2022,Has an ETS
BLZ,1989,No ETS
BLZ,1990,No ETS
BLZ,1991,No ETS
BLZ,1992,No ETS
BLZ,1993,No ETS
BLZ,1994,No ETS
BLZ,1995,No ETS
BLZ,1996,No ETS
BLZ,1997,No ETS
BLZ,1998,No ETS
BLZ,1999,No ETS
BLZ,2000,No ETS
BLZ,2001,No ETS
BLZ,2002,No ETS
BLZ,2003,No ETS
BLZ,2004,No ETS
BLZ,2005,No ETS
BLZ,2006,No ETS
BLZ,2007,No ETS
BLZ,2008,No ETS
BLZ,2009,No ETS
BLZ,2010,No ETS
BLZ,2011,No ETS
BLZ,2012,No ETS
BLZ,2013,No ETS
BLZ,2014,No ETS
BLZ,2015,No ETS
BLZ,2016,No ETS
BLZ,2017,No ETS
BLZ,2018,No ETS
BLZ,2019,No ETS
BLZ,2020,No ETS
BLZ,2021,No ETS
BLZ,2022,No ETS
BEN,1989,No ETS
BEN,1990,No ETS
BEN,1991,No ETS
BEN,1992,No ETS
BEN,1993,No ETS
BEN,1994,No ETS
BEN,1995,No ETS
BEN,1996,No ETS
BEN,1997,No ETS
BEN,1998,No ETS
BEN,1999,No ETS
BEN,2000,No ETS
BEN,2001,No ETS
BEN,2002,No ETS
BEN,2003,No ETS
BEN,2004,No ETS
BEN,2005,No ETS
BEN,2006,No ETS
BEN,2007,No ETS
BEN,2008,No ETS
BEN,2009,No ETS
BEN,2010,No ETS
BEN,2011,No ETS
BEN,2012,No ETS
BEN,2013,No ETS
BEN,2014,No ETS
BEN,2015,No ETS
BEN,2016,No ETS
BEN,2017,No ETS
BEN,2018,No ETS
BEN,2019,No ETS
BEN,2020,No ETS
BEN,2021,No ETS
BEN,2022,No ETS
BTN,1989,No ETS
BTN,1990,No ETS
BTN,1991,No ETS
BTN,1992,No ETS
BTN,1993,No ETS
BTN,1994,No ETS
BTN,1995,No ETS
BTN,1996,No ETS
BTN,1997,No ETS
BTN,1998,No ETS
BTN,1999,No ETS
BTN,2000,No ETS
BTN,2001,No ETS
BTN,2002,No ETS
BTN,2003,No ETS
BTN,2004,No ETS
BTN,2005,No ETS
BTN,2006,No ETS
BTN,2007,No ETS
BTN,2008,No ETS
BTN,2009,No ETS
BTN,2010,No ETS
BTN,2011,No ETS
BTN,2012,No ETS
BTN,2013,No ETS
BTN,2014,No ETS
BTN,2015,No ETS
BTN,2016,No ETS
BTN,2017,No ETS
BTN,2018,No ETS
BTN,2019,No ETS
BTN,2020,No ETS
BTN,2021,No ETS
BTN,2022,No ETS
BOL,1989,No ETS
BOL,1990,No ETS
BOL,1991,No ETS
BOL,1992,No ETS
BOL,1993,No ETS
BOL,1994,No ETS
BOL,1995,No ETS
BOL,1996,No ETS
BOL,1997,No ETS
BOL,1998,No ETS
BOL,1999,No ETS
BOL,2000,No ETS
BOL,2001,No ETS
BOL,2002,No ETS
BOL,2003,No ETS
BOL,2004,No ETS
BOL,2005,No ETS
BOL,2006,No ETS
BOL,2007,No ETS
BOL,2008,No ETS
BOL,2009,No ETS
BOL,2010,No ETS
BOL,2011,No ETS
BOL,2012,No ETS
BOL,2013,No ETS
BOL,2014,No ETS
BOL,2015,No ETS
BOL,2016,No ETS
BOL,2017,No ETS
BOL,2018,No ETS
BOL,2019,No ETS
BOL,2020,No ETS
BOL,2021,No ETS
BOL,2022,No ETS
BIH,1989,No ETS
BIH,1990,No ETS
BIH,1991,No ETS
BIH,1992,No ETS
BIH,1993,No ETS
BIH,1994,No ETS
BIH,1995,No ETS
BIH,1996,No ETS
BIH,1997,No ETS
BIH,1998,No ETS
BIH,1999,No ETS
BIH,2000,No ETS
BIH,2001,No ETS
BIH,2002,No ETS
BIH,2003,No ETS
BIH,2004,No ETS
BIH,2005,No ETS
BIH,2006,No ETS
BIH,2007,No ETS
BIH,2008,No ETS
BIH,2009,No ETS
BIH,2010,No ETS
BIH,2011,No ETS
BIH,2012,No ETS
BIH,2013,No ETS
BIH,2014,No ETS
BIH,2015,No ETS
BIH,2016,No ETS
BIH,2017,No ETS
BIH,2018,No ETS
BIH,2019,No ETS
BIH,2020,No ETS
BIH,2021,No ETS
BIH,2022,No ETS
BWA,1989,No ETS
BWA,1990,No ETS
BWA,1991,No ETS
BWA,1992,No ETS
BWA,1993,No ETS
BWA,1994,No ETS
BWA,1995,No ETS
BWA,1996,No ETS
BWA,1997,No ETS
BWA,1998,No ETS
BWA,1999,No ETS
BWA,2000,No ETS
BWA,2001,No ETS
BWA,2002,No ETS
BWA,2003,No ETS
BWA,2004,No ETS
BWA,2005,No ETS
BWA,2006,No ETS
BWA,2007,No ETS
BWA,2008,No ETS
BWA,2009,No ETS
BWA,2010,No ETS
BWA,2011,No ETS
BWA,2012,No ETS
BWA,2013,No ETS
BWA,2014,No ETS
BWA,2015,No ETS
BWA,2016,No ETS
BWA,2017,No ETS
BWA,2018,No ETS
BWA,2019,No ETS
BWA,2020,No ETS
BWA,2021,No ETS
BWA,2022,No ETS
BRA,1989,No ETS
BRA,1990,No ETS
BRA,1991,No ETS
BRA,1992,No ETS
BRA,1993,No ETS
BRA,1994,No ETS
BRA,1995,No ETS
BRA,1996,No ETS
BRA,1997,No ETS
BRA,1998,No ETS
BRA,1999,No ETS
BRA,2000,No ETS
BRA,2001,No ETS
BRA,2002,No ETS
BRA,2003,No ETS
BRA,2004,No ETS
BRA,2005,No ETS
BRA,2006,No ETS
BRA,2007,No ETS
BRA,2008,No ETS
BRA,2009,No ETS
BRA,2010,No ETS
BRA,2011,No ETS
BRA,2012,No ETS
BRA,2013,No ETS
BRA,2014,No ETS
BRA,2015,No ETS
BRA,2016,No ETS
BRA,2017,No ETS
BRA,2018,No ETS
BRA,2019,No ETS
BRA,2020,No ETS
BRA,2021,No ETS
BRA,2022,No ETS
BRN,1989,No ETS
BRN,1990,No ETS
BRN,1991,No ETS
BRN,1992,No ETS
BRN,1993,No ETS
BRN,1994,No ETS
BRN,1995,No ETS
BRN,1996,No ETS
BRN,1997,No ETS
BRN,1998,No ETS
BRN,1999,No ETS
BRN,2000,No ETS
BRN,2001,No ETS
BRN,2002,No ETS
BRN,2003,No ETS
BRN,2004,No ETS
BRN,2005,No ETS
BRN,2006,No ETS
BRN,2007,No ETS
BRN,2008,No ETS
BRN,2009,No ETS
BRN,2010,No ETS
BRN,2011,No ETS
BRN,2012,No ETS
BRN,2013,No ETS
BRN,2014,No ETS
BRN,2015,No ETS
BRN,2016,No ETS
BRN,2017,No ETS
BRN,2018,No ETS
BRN,2019,No ETS
BRN,2020,No ETS
BRN,2021,No ETS
BRN,2022,No ETS
BGR,1989,No ETS
BGR,1990,No ETS
BGR,1991,No ETS
BGR,1992,No ETS
BGR,1993,No ETS
BGR,1994,No ETS
BGR,1995,No ETS
BGR,1996,No ETS
BGR,1997,No ETS
BGR,1998,No ETS
BGR,1999,No ETS
BGR,2000,No ETS
BGR,2001,No ETS
BGR,2002,No ETS
BGR,2003,No ETS
BGR,2004,No ETS
BGR,2005,No ETS
BGR,2006,No ETS
BGR,2007,Has an ETS
BGR,2008,Has an ETS
BGR,2009,Has an ETS
BGR,2010,Has an ETS
BGR,2011,Has an ETS
BGR,2012,Has an ETS
BGR,2013,Has an ETS
BGR,2014,Has an ETS
BGR,2015,Has an ETS
BGR,2016,Has an ETS
BGR,2017,Has an ETS
BGR,2018,Has an ETS
BGR,2019,Has an ETS
BGR,2020,Has an ETS
BGR,2021,Has an ETS
BGR,2022,Has an ETS
BFA,1989,No ETS
BFA,1990,No ETS
BFA,1991,No ETS
BFA,1992,No ETS
BFA,1993,No ETS
BFA,1994,No ETS
BFA,1995,No ETS
BFA,1996,No ETS
BFA,1997,No ETS
BFA,1998,No ETS
BFA,1999,No ETS
BFA,2000,No ETS
BFA,2001,No ETS
BFA,2002,No ETS
BFA,2003,No ETS
BFA,2004,No ETS
BFA,2005,No ETS
BFA,2006,No ETS
BFA,2007,No ETS
BFA,2008,No ETS
BFA,2009,No ETS
BFA,2010,No ETS
BFA,2011,No ETS
BFA,2012,No ETS
BFA,2013,No ETS
BFA,2014,No ETS
BFA,2015,No ETS
BFA,2016,No ETS
BFA,2017,No ETS
BFA,2018,No ETS
BFA,2019,No ETS
BFA,2020,No ETS
BFA,2021,No ETS
BFA,2022,No ETS
BDI,1989,No ETS
BDI,1990,No ETS
BDI,1991,No ETS
BDI,1992,No ETS
BDI,1993,No ETS
BDI,1994,No ETS
BDI,1995,No ETS
BDI,1996,No ETS
BDI,1997,No ETS
BDI,1998,No ETS
BDI,1999,No ETS
BDI,2000,No ETS
BDI,2001,No ETS
BDI,2002,No ETS
BDI,2003,No ETS
BDI,2004,No ETS
BDI,2005,No ETS
BDI,2006,No ETS
BDI,2007,No ETS
BDI,2008,No ETS
BDI,2009,No ETS
BDI,2010,No ETS
BDI,2011,No ETS
BDI,2012,No ETS
BDI,2013,No ETS
BDI,2014,No ETS
BDI,2015,No ETS
BDI,2016,No ETS
BDI,2017,No ETS
BDI,2018,No ETS
BDI,2019,No ETS
BDI,2020,No ETS
BDI,2021,No ETS
BDI,2022,No ETS
KHM,1989,No ETS
KHM,1990,No ETS
KHM,1991,No ETS
KHM,1992,No ETS
KHM,1993,No ETS
KHM,1994,No ETS
KHM,1995,No ETS
KHM,1996,No ETS
KHM,1997,No ETS
KHM,1998,No ETS
KHM,1999,No ETS
KHM,2000,No ETS
KHM,2001,No ETS
KHM,2002,No ETS
KHM,2003,No ETS
KHM,2004,No ETS
KHM,2005,No ETS
KHM,2006,No ETS
KHM,2007,No ETS
KHM,2008,No ETS
KHM,2009,No ETS
KHM,2010,No ETS
KHM,2011,No ETS
KHM,2012,No ETS
KHM,2013,No ETS
KHM,2014,No ETS
KHM,2015,No ETS
KHM,2016,No ETS
KHM,2017,No ETS
KHM,2018,No ETS
KHM,2019,No ETS
KHM,2020,No ETS
KHM,2021,No ETS
KHM,2022,No ETS
CMR,1989,No ETS
CMR,1990,No ETS
CMR,1991,No ETS
CMR,1992,No ETS
CMR,1993,No ETS
CMR,1994,No ETS
CMR,1995,No ETS
CMR,1996,No ETS
CMR,1997,No ETS
CMR,1998,No ETS
CMR,1999,No ETS
CMR,2000,No ETS
CMR,2001,No ETS
CMR,2002,No ETS
CMR,2003,No ETS
CMR,2004,No ETS
CMR,2005,No ETS
CMR,2006,No ETS
CMR,2007,No ETS
CMR,2008,No ETS
CMR,2009,No ETS
CMR,2010,No ETS
CMR,2011,No ETS
CMR,2012,No ETS
CMR,2013,No ETS
CMR,2014,No ETS
CMR,2015,No ETS
CMR,2016,No ETS
CMR,2017,No ETS
CMR,2018,No ETS
CMR,2019,No ETS
CMR,2020,No ETS
CMR,2021,No ETS
CMR,2022,No ETS
CAN,1989,No ETS
CAN,1990,No ETS
CAN,1991,No ETS
CAN,1992,No ETS
CAN,1993,No ETS
CAN,1994,No ETS
CAN,1995,No ETS
CAN,1996,No ETS
CAN,1997,No ETS
CAN,1998,No ETS
CAN,1999,No ETS
CAN,2000,No ETS
CAN,2001,No ETS
CAN,2002,No ETS
CAN,2003,No ETS
CAN,2004,No ETS
CAN,2005,No ETS
CAN,2006,No ETS
CAN,2007,Has an ETS only at a sub-national level
CAN,2008,Has an ETS only at a sub-national level
CAN,2009,Has an ETS only at a sub-national level
CAN,2010,Has an ETS only at a sub-national level
CAN,2011,Has an ETS only at a sub-national level
CAN,2012,Has an ETS only at a sub-national level
CAN,2013,Has an ETS only at a sub-national level
CAN,2014,Has an ETS only at a sub-national level
CAN,2015,Has an ETS only at a sub-national level
CAN,2016,Has an ETS only at a sub-national level
CAN,2017,Has an ETS only at a sub-national level
CAN,2018,Has an ETS only at a sub-national level
CAN,2019,Has an ETS only at a sub-national level
CAN,2020,Has an ETS only at a sub-national level
CAN,2021,Has an ETS only at a sub-national level
CAN,2022,Has an ETS only at a sub-national level
CPV,1989,No ETS
CPV,1990,No ETS
CPV,1991,No ETS
CPV,1992,No ETS
CPV,1993,No ETS
CPV,1994,No ETS
CPV,1995,No ETS
CPV,1996,No ETS
CPV,1997,No ETS
CPV,1998,No ETS
CPV,1999,No ETS
CPV,2000,No ETS
CPV,2001,No ETS
CPV,2002,No ETS
CPV,2003,No ETS
CPV,2004,No ETS
CPV,2005,No ETS
CPV,2006,No ETS
CPV,2007,No ETS
CPV,2008,No ETS
CPV,2009,No ETS
CPV,2010,No ETS
CPV,2011,No ETS
CPV,2012,No ETS
CPV,2013,No ETS
CPV,2014,No ETS
CPV,2015,No ETS
CPV,2016,No ETS
CPV,2017,No ETS
CPV,2018,No ETS
CPV,2019,No ETS
CPV,2020,No ETS
CPV,2021,No ETS
CPV,2022,No ETS
CAF,1989,No ETS
CAF,1990,No ETS
CAF,1991,No ETS
CAF,1992,No ETS
CAF,1993,No ETS
CAF,1994,No ETS
CAF,1995,No ETS
CAF,1996,No ETS
CAF,1997,No ETS
CAF,1998,No ETS
CAF,1999,No ETS
CAF,2000,No ETS
CAF,2001,No ETS
CAF,2002,No ETS
CAF,2003,No ETS
CAF,2004,No ETS
CAF,2005,No ETS
CAF,2006,No ETS
CAF,2007,No ETS
CAF,2008,No ETS
CAF,2009,No ETS
CAF,2010,No ETS
CAF,2011,No ETS
CAF,2012,No ETS
CAF,2013,No ETS
CAF,2014,No ETS
CAF,2015,No ETS
CAF,2016,No ETS
CAF,2017,No ETS
CAF,2018,No ETS
CAF,2019,No ETS
CAF,2020,No ETS
CAF,2021,No ETS
CAF,2022,No ETS
TCD,1989,No ETS
TCD,1990,No ETS
TCD,1991,No ETS
TCD,1992,No ETS
TCD,1993,No ETS
TCD,1994,No ETS
TCD,1995,No ETS
TCD,1996,No ETS
TCD,1997,No ETS
TCD,1998,No ETS
TCD,1999,No ETS
TCD,2000,No ETS
TCD,2001,No ETS
TCD,2002,No ETS
TCD,2003,No ETS
TCD,2004,No ETS
TCD,2005,No ETS
TCD,2006,No ETS
